
=== 2026-05-21T18:03:10 ===
F:\TFM experimento\training\.venv\Scripts\python.exe F:\TFM experimento\training\scripts\train_cls_hparams.py --data F:\TFM experimento\training\dataset\domain_mix_zenodo_plantdoc_pd5_umair_hard --model F:\TFM experimento\training\runs\classify\runs\domainmix_pd5_from_fieldaug_e25_e10\weights\best.pt --epochs 25 --imgsz 320 --batch 32 --workers 4 --device 0 --project runs/pareto --name p02_img320_lr5e4_wd5e4_augmed_e25 --optimizer AdamW --lr0 0.0005 --weight-decay 0.0005 --dropout 0.0 --freeze 0 --aug-profile medium --mixup 0.0 --cutmix 0.0
New https://pypi.org/project/ultralytics/8.4.52 available  Update with 'pip install -U ultralytics'
Ultralytics 8.4.50  Python-3.12.10 torch-2.12.0+cu126 CUDA:0 (NVIDIA GeForce RTX 3080, 10240MiB)
[34m[1mengine\trainer: [0magnostic_nms=False, amp=True, angle=1.0, augment=False, auto_augment=randaugment, batch=32, bgr=0.0, box=7.5, cache=False, cfg=None, classes=None, close_mosaic=10, cls=0.5, cls_pw=0.0, compile=False, conf=None, copy_paste=0.0, copy_paste_mode=flip, cos_lr=False, cutmix=0.0, data=F:\TFM experimento\training\dataset\domain_mix_zenodo_plantdoc_pd5_umair_hard, degrees=20, deterministic=True, device=0, dfl=1.5, dnn=False, dropout=0.0, dynamic=False, embed=None, end2end=None, epochs=25, erasing=0.25, exist_ok=False, fliplr=0.5, flipud=0.0, format=torchscript, fraction=1.0, freeze=None, half=False, hsv_h=0.035, hsv_s=0.65, hsv_v=0.55, imgsz=320, int8=False, iou=0.7, keras=False, kobj=1.0, line_width=None, lr0=0.0005, lrf=0.01, mask_ratio=4, max_det=300, mixup=0.0, mode=train, model=F:\TFM experimento\training\runs\classify\runs\domainmix_pd5_from_fieldaug_e25_e10\weights\best.pt, momentum=0.937, mosaic=1.0, multi_scale=0.0, name=p02_img320_lr5e4_wd5e4_augmed_e25, nbs=64, nms=False, opset=None, optimize=False, optimizer=AdamW, overlap_mask=True, patience=10, perspective=0.0008, plots=True, pose=12.0, pretrained=True, profile=False, project=runs/pareto, rect=False, resume=False, retina_masks=False, rle=1.0, save=True, save_conf=False, save_crop=False, save_dir=F:\TFM experimento\training\runs\classify\runs\pareto\p02_img320_lr5e4_wd5e4_augmed_e25, save_frames=False, save_json=False, save_period=-1, save_txt=False, scale=0.35, seed=0, shear=6, show=False, show_boxes=True, show_conf=True, show_labels=True, simplify=True, single_cls=False, source=None, split=val, stream_buffer=False, task=classify, time=None, tracker=botsort.yaml, translate=0.12, val=True, verbose=True, vid_stride=1, visualize=False, warmup_bias_lr=0.1, warmup_epochs=3.0, warmup_momentum=0.8, weight_decay=0.0005, workers=4, workspace=None
[34m[1mtrain:[0m F:\TFM experimento\training\dataset\domain_mix_zenodo_plantdoc_pd5_umair_hard\train... found 15125 images in 10 classes  
ERROR [34m[1mval:[0m F:\TFM experimento\training\dataset\domain_mix_zenodo_plantdoc_pd5_umair_hard\val... found 69 images in 8 classes (requires 10 classes, not 8)
[34m[1mtest:[0m None...
                   from  n    params  module                                       arguments                     
  0                  -1  1       464  ultralytics.nn.modules.conv.Conv             [3, 16, 3, 2]                 
  1                  -1  1      4672  ultralytics.nn.modules.conv.Conv             [16, 32, 3, 2]                
  2                  -1  1      7360  ultralytics.nn.modules.block.C2f             [32, 32, 1, True]             
  3                  -1  1     18560  ultralytics.nn.modules.conv.Conv             [32, 64, 3, 2]                
  4                  -1  2     49664  ultralytics.nn.modules.block.C2f             [64, 64, 2, True]             
  5                  -1  1     73984  ultralytics.nn.modules.conv.Conv             [64, 128, 3, 2]               
  6                  -1  2    197632  ultralytics.nn.modules.block.C2f             [128, 128, 2, True]           
  7                  -1  1    295424  ultralytics.nn.modules.conv.Conv             [128, 256, 3, 2]              
  8                  -1  1    460288  ultralytics.nn.modules.block.C2f             [256, 256, 1, True]           
  9                  -1  1    343050  ultralytics.nn.modules.head.Classify         [256, 10]                     
YOLOv8n-cls summary: 56 layers, 1,451,098 parameters, 1,451,098 gradients, 3.4 GFLOPs
Transferred 158/158 items from pretrained weights
[34m[1mAMP: [0mrunning Automatic Mixed Precision (AMP) checks...
[34m[1mAMP: [0mchecks passed 
[34m[1mtrain: [0mFast image access  (ping: 0.10.0 ms, read: 79.163.4 MB/s, size: 20.0 KB)
[K[34m[1mtrain: [0mScanning F:\TFM experimento\training\dataset\domain_mix_zenodo_plantdoc_pd5_umair_hard\train... 15125 images, 0 corrupt: 100% ━━━━━━━━━━━━ 15125/15125  0.0s
[34m[1mval: [0mFast image access  (ping: 0.10.0 ms, read: 432.5283.9 MB/s, size: 63.0 KB)
[K[34m[1mval: [0mScanning F:\TFM experimento\training\dataset\domain_mix_zenodo_plantdoc_pd5_umair_hard\val... 69 images, 0 corrupt: 100% ━━━━━━━━━━━━ 69/69  0.0s
[34m[1moptimizer:[0m AdamW(lr=0.0005, momentum=0.937) with parameter groups 26 weight(decay=0.0), 27 weight(decay=0.0005), 27 bias(decay=0.0)
Image sizes 320 train, 320 val
Using 4 dataloader workers
Logging results to [1mF:\TFM experimento\training\runs\classify\runs\pareto\p02_img320_lr5e4_wd5e4_augmed_e25[0m
Starting training for 25 epochs...
      Epoch    GPU_mem       loss  Instances       Size
[K       1/25     0.727G     0.3385         32        320: 0% ──────────── 0/473  1.1s
[K       6/25     0.939G     0.1461         32        320: 71% ━━━━━━━━╸─── 337/473 12.4it/s 28.3s<11.0s
[K       6/25     0.939G     0.1455         32        320: 72% ━━━━━━━━╸─── 340/473 16.5it/s 28.4s<8.1s
[K       6/25     0.939G     0.1455         32        320: 72% ━━━━━━━━╸─── 341/473 13.3it/s 28.6s<9.9s
[K       6/25     0.939G     0.1457         32        320: 73% ━━━━━━━━╸─── 345/473 15.6it/s 28.8s<8.2s
[K       6/25     0.939G     0.1452         32        320: 74% ━━━━━━━━╸─── 348/473 18.7it/s 28.9s<6.7s
[K       6/25     0.939G     0.1453         32        320: 74% ━━━━━━━━╸─── 349/473 14.1it/s 29.2s<8.8s
[K       6/25     0.939G      0.145         32        320: 74% ━━━━━━━━╸─── 352/473 15.8it/s 29.3s<7.7s
[K       6/25     0.939G      0.145         32        320: 75% ━━━━━━━━╸─── 353/473 12.4it/s 29.5s<9.7s
[K       6/25     0.939G     0.1449         32        320: 75% ━━━━━━━━━─── 357/473 11.3it/s 30.0s<10.3s
[K       6/25     0.939G     0.1449         32        320: 76% ━━━━━━━━━─── 360/473 16.3it/s 30.1s<6.9s
[K       6/25     0.939G      0.145         32        320: 76% ━━━━━━━━━─── 361/473 13.9it/s 30.2s<8.1s
[K       6/25     0.939G     0.1452         32        320: 77% ━━━━━━━━━─── 364/473 15.6it/s 30.4s<7.0s
[K       6/25     0.939G     0.1452         32        320: 77% ━━━━━━━━━─── 365/473 12.6it/s 30.6s<8.6s
[K       6/25     0.939G     0.1451         32        320: 78% ━━━━━━━━━─── 368/473 16.1it/s 30.7s<6.5s
[K       6/25     0.939G     0.1452         32        320: 78% ━━━━━━━━━─── 369/473 13.8it/s 30.8s<7.5s
[K       6/25     0.939G     0.1461         32        320: 79% ━━━━━━━━━─── 372/473 16.1it/s 30.9s<6.3s
[K       6/25     0.939G     0.1462         32        320: 79% ━━━━━━━━━─── 373/473 13.7it/s 31.1s<7.3s
[K       6/25     0.939G     0.1462         32        320: 79% ━━━━━━━━━╸── 376/473 18.3it/s 31.2s<5.3s
[K       6/25     0.939G      0.146         32        320: 80% ━━━━━━━━━╸── 377/473 14.1it/s 31.4s<6.8s
[K       6/25     0.939G     0.1463         32        320: 80% ━━━━━━━━━╸── 380/473 17.2it/s 31.5s<5.4s
[K       6/25     0.939G     0.1463         32        320: 81% ━━━━━━━━━╸── 381/473 13.3it/s 31.8s<6.9s
[K       6/25     0.939G     0.1455         32        320: 81% ━━━━━━━━━╸── 384/473 17.6it/s 31.9s<5.1s
[K       6/25     0.939G     0.1453         32        320: 81% ━━━━━━━━━╸── 385/473 14.2it/s 32.0s<6.2s
[K       6/25     0.939G      0.145         32        320: 82% ━━━━━━━━━╸── 388/473 16.5it/s 32.2s<5.2s
[K       6/25     0.939G      0.145         32        320: 82% ━━━━━━━━━╸── 389/473 14.1it/s 32.3s<5.9s
[K       6/25     0.939G     0.1458         32        320: 83% ━━━━━━━━━╸── 392/473 15.7it/s 32.4s<5.2s
[K       6/25     0.939G     0.1455         32        320: 83% ━━━━━━━━━╸── 393/473 12.9it/s 32.6s<6.2s
[K       6/25     0.939G      0.145         32        320: 84% ━━━━━━━━━━── 396/473 15.2it/s 32.7s<5.1s
[K       6/25     0.939G     0.1456         32        320: 84% ━━━━━━━━━━── 397/473 11.4it/s 33.2s<6.7s
[K       6/25     0.939G     0.1456         32        320: 85% ━━━━━━━━━━── 400/473 15.5it/s 33.3s<4.7s
[K       6/25     0.939G     0.1455         32        320: 85% ━━━━━━━━━━── 401/473 12.5it/s 33.5s<5.7s
[K       6/25     0.939G     0.1456         32        320: 86% ━━━━━━━━━━── 405/473 15.2it/s 33.6s<4.5s
[K       6/25     0.939G     0.1451         32        320: 86% ━━━━━━━━━━── 408/473 19.6it/s 33.7s<3.3s
[K       6/25     0.939G      0.145         32        320: 86% ━━━━━━━━━━── 409/473 16.5it/s 33.9s<3.9s
[K       6/25     0.939G     0.1456         32        320: 87% ━━━━━━━━━━── 412/473 19.2it/s 34.0s<3.2s
[K       6/25     0.939G     0.1458         32        320: 87% ━━━━━━━━━━── 413/473 15.5it/s 34.1s<3.9s
[K       6/25     0.939G      0.146         32        320: 88% ━━━━━━━━━━╸─ 417/473 13.3it/s 34.6s<4.2s
[K       6/25     0.939G     0.1461         32        320: 89% ━━━━━━━━━━╸─ 421/473 14.6it/s 34.8s<3.6s
[K       6/25     0.939G     0.1464         32        320: 90% ━━━━━━━━━━╸─ 424/473 18.6it/s 34.9s<2.6s
[K       6/25     0.939G     0.1464         32        320: 90% ━━━━━━━━━━╸─ 425/473 14.6it/s 35.1s<3.3s
[K       6/25     0.939G     0.1461         32        320: 91% ━━━━━━━━━━╸─ 429/473 15.3it/s 35.4s<2.9s
[K       6/25     0.939G     0.1461         32        320: 91% ━━━━━━━━━━╸─ 432/473 17.4it/s 35.5s<2.4s
[K       6/25     0.939G     0.1459         32        320: 92% ━━━━━━━━━━╸─ 433/473 14.7it/s 35.6s<2.7s
[K       6/25     0.939G     0.1462         32        320: 92% ━━━━━━━━━━━─ 436/473 16.9it/s 35.8s<2.2s
[K       6/25     0.939G     0.1457         32        320: 93% ━━━━━━━━━━━─ 438/473 16.8it/s 35.9s<2.1s
[K       6/25     0.939G     0.1458         32        320: 93% ━━━━━━━━━━━─ 441/473 13.5it/s 36.4s<2.4s
[K       6/25     0.939G     0.1458         32        320: 94% ━━━━━━━━━━━─ 444/473 16.5it/s 36.5s<1.8s
[K       6/25     0.939G     0.1457         32        320: 94% ━━━━━━━━━━━─ 445/473 14.3it/s 36.7s<2.0s
[K       6/25     0.939G      0.146         32        320: 95% ━━━━━━━━━━━─ 448/473 15.8it/s 36.8s<1.6s
[K       6/25     0.939G     0.1461         32        320: 95% ━━━━━━━━━━━─ 449/473 12.1it/s 37.1s<2.0s
[K       6/25     0.939G     0.1461         32        320: 96% ━━━━━━━━━━━─ 452/473 16.2it/s 37.2s<1.3s
[K       6/25     0.939G     0.1464         32        320: 96% ━━━━━━━━━━━─ 453/473 12.5it/s 37.5s<1.6s
[K       6/25     0.939G      0.146         32        320: 96% ━━━━━━━━━━━╸ 456/473 15.9it/s 37.6s<1.1s
[K       6/25     0.939G     0.1456         32        320: 97% ━━━━━━━━━━━╸ 458/473 15.4it/s 37.7s<1.0s
[K       6/25     0.939G     0.1454         32        320: 97% ━━━━━━━━━━━╸ 461/473 12.8it/s 38.2s<0.9s
[K       6/25     0.939G      0.145         32        320: 98% ━━━━━━━━━━━╸ 464/473 17.3it/s 38.3s<0.5s
[K       6/25     0.939G     0.1451         32        320: 98% ━━━━━━━━━━━╸ 465/473 13.1it/s 38.6s<0.6s
[K       6/25     0.939G     0.1455         32        320: 99% ━━━━━━━━━━━╸ 468/473 17.6it/s 38.7s<0.3s
[K       6/25     0.939G     0.1458         32        320: 99% ━━━━━━━━━━━╸ 470/473 17.2it/s 38.8s<0.2s
[K       6/25     0.939G     0.1455         21        320: 100% ━━━━━━━━━━━╸ 472/473 17.6it/s 38.9s<0.1s
[K       6/25     0.939G     0.1455         21        320: 100% ━━━━━━━━━━━━ 473/473 12.2it/s 38.9s


[K               classes   top1_acc   top5_acc: 100% ━━━━━━━━━━━━ 2/2 53.3it/s 0.0s

                   all      0.435      0.681



      Epoch    GPU_mem       loss  Instances       Size


[K       7/25     0.939G     0.1652         32        320: 0% ──────────── 1/473 2.4it/s 0.1s<3:17
[K       7/25     0.939G     0.1815         32        320: 1% ──────────── 4/473 5.0it/s 0.4s<1:33
[K       7/25     0.939G     0.1414         32        320: 1% ──────────── 7/473 10.9it/s 0.5s<42.9s
[K       7/25     0.939G     0.1421         32        320: 2% ──────────── 8/473 8.6it/s 0.8s<54.2s
[K       7/25     0.939G     0.1313         32        320: 2% ──────────── 10/473 10.9it/s 0.9s<42.6s
[K       7/25     0.939G     0.1226         32        320: 3% ──────────── 12/473 10.9it/s 1.1s<42.4s
[K       7/25     0.939G     0.1241         32        320: 3% ──────────── 15/473 13.7it/s 1.3s<33.5s
[K       7/25     0.939G     0.1237         32        320: 3% ──────────── 16/473 12.0it/s 1.4s<38.0s
[K       7/25     0.939G     0.1239         32        320: 4% ──────────── 19/473 15.8it/s 1.5s<28.7s
[K       7/25     0.939G     0.1233         32        320: 4% ╸─────────── 20/473 12.1it/s 1.8s<37.5s
[K       7/25     0.939G     0.1316         32        320: 5% ╸─────────── 23/473 15.8it/s 1.9s<28.5s
[K       7/25     0.939G     0.1405         32        320: 5% ╸─────────── 24/473 12.3it/s 2.2s<36.5s
[K       7/25     0.939G     0.1352         32        320: 6% ╸─────────── 27/473 15.6it/s 2.3s<28.7s
[K       7/25     0.939G     0.1367         32        320: 6% ╸─────────── 28/473 13.3it/s 2.4s<33.5s
[K       7/25     0.939G     0.1339         32        320: 7% ╸─────────── 32/473 14.8it/s 2.7s<29.8s
[K       7/25     0.939G     0.1344         32        320: 7% ╸─────────── 35/473 17.5it/s 2.8s<25.0s
[K       7/25     0.939G      0.134         32        320: 8% ╸─────────── 36/473 14.1it/s 2.9s<31.0s
[K       7/25     0.939G     0.1342         32        320: 8% ╸─────────── 38/473 15.1it/s 3.1s<28.8s
[K       7/25     0.939G      0.133         32        320: 8% ━─────────── 40/473 11.9it/s 3.5s<36.4s
[K       7/25     0.939G     0.1308         32        320: 9% ━─────────── 43/473 17.1it/s 3.6s<25.1s
[K       7/25     0.939G     0.1284         32        320: 10% ━─────────── 45/473 16.2it/s 3.8s<26.4s
[K       7/25     0.939G     0.1286         32        320: 10% ━─────────── 48/473 15.6it/s 4.0s<27.2s
[K       7/25     0.939G     0.1308         32        320: 11% ━─────────── 51/473 18.4it/s 4.1s<22.9s
[K       7/25     0.939G     0.1305         32        320: 11% ━─────────── 52/473 14.6it/s 4.3s<28.9s
[K       7/25     0.939G     0.1289         32        320: 12% ━─────────── 55/473 17.0it/s 4.4s<24.6s
[K       7/25     0.939G     0.1292         32        320: 12% ━─────────── 56/473 13.7it/s 4.6s<30.4s
[K       7/25     0.939G     0.1271         32        320: 12% ━─────────── 59/473 17.5it/s 4.7s<23.6s
[K       7/25     0.939G     0.1292         32        320: 13% ━╸────────── 60/473 13.4it/s 4.9s<30.7s
[K       7/25     0.939G     0.1313         32        320: 13% ━╸────────── 63/473 14.8it/s 5.1s<27.8s
[K       7/25     0.939G     0.1365         32        320: 14% ━╸────────── 64/473 12.3it/s 5.3s<33.1s
[K       7/25     0.939G     0.1374         32        320: 14% ━╸────────── 67/473 15.9it/s 5.4s<25.6s
[K       7/25     0.939G     0.1372         32        320: 14% ━╸────────── 68/473 12.8it/s 5.6s<31.7s
[K       7/25     0.939G     0.1361         32        320: 15% ━╸────────── 71/473 14.6it/s 5.7s<27.5s
[K       7/25     0.939G      0.135         32        320: 15% ━╸────────── 72/473 11.8it/s 5.9s<34.0s
[K       7/25     0.939G     0.1339         32        320: 16% ━╸────────── 75/473 15.0it/s 6.0s<26.5s
[K       7/25     0.939G     0.1327         32        320: 16% ━╸────────── 76/473 12.3it/s 6.2s<32.1s
[K       7/25     0.939G     0.1323         32        320: 17% ━━────────── 79/473 16.2it/s 6.3s<24.4s
[K       7/25     0.939G     0.1352         32        320: 17% ━━────────── 80/473 12.5it/s 6.6s<31.4s
[K       7/25     0.939G     0.1361         32        320: 18% ━━────────── 83/473 16.4it/s 6.7s<23.8s
[K       7/25     0.939G     0.1356         32        320: 18% ━━────────── 84/473 12.4it/s 7.0s<31.4s
[K       7/25     0.939G     0.1358         32        320: 18% ━━────────── 87/473 17.6it/s 7.1s<22.0s
[K       7/25     0.939G     0.1349         32        320: 19% ━━────────── 88/473 13.7it/s 7.3s<28.1s
[K       7/25     0.939G     0.1356         32        320: 19% ━━────────── 91/473 17.5it/s 7.4s<21.9s
[K       7/25     0.939G     0.1353         32        320: 19% ━━────────── 92/473 13.5it/s 7.7s<28.2s
[K       7/25     0.939G     0.1344         32        320: 20% ━━────────── 95/473 15.9it/s 7.8s<23.8s
[K       7/25     0.939G     0.1355         32        320: 20% ━━────────── 96/473 13.3it/s 8.0s<28.4s
[K       7/25     0.939G     0.1346         32        320: 21% ━━╸───────── 99/473 15.8it/s 8.1s<23.7s
[K       7/25     0.939G     0.1355         32        320: 21% ━━╸───────── 100/473 13.9it/s 8.2s<26.9s
[K       7/25     0.939G     0.1348         32        320: 22% ━━╸───────── 103/473 16.3it/s 8.3s<22.7s
[K       7/25     0.939G     0.1342         32        320: 22% ━━╸───────── 105/473 13.1it/s 8.7s<28.1s
[K       7/25     0.939G     0.1321         32        320: 23% ━━╸───────── 108/473 14.6it/s 8.9s<25.1s
[K       7/25     0.939G     0.1312         32        320: 23% ━━╸───────── 109/473 11.3it/s 9.1s<32.1s
[K       7/25     0.939G     0.1327         32        320: 24% ━━╸───────── 112/473 15.2it/s 9.2s<23.7s
[K       7/25     0.939G     0.1328         32        320: 24% ━━╸───────── 113/473 13.5it/s 9.3s<26.8s
[K       7/25     0.939G     0.1322         32        320: 25% ━━╸───────── 116/473 17.6it/s 9.5s<20.3s
[K       7/25     0.939G     0.1316         32        320: 25% ━━╸───────── 117/473 13.9it/s 9.6s<25.6s
[K       7/25     0.939G     0.1319         32        320: 25% ━━━───────── 119/473 14.6it/s 9.8s<24.3s
[K       7/25     0.939G     0.1328         32        320: 26% ━━━───────── 121/473 11.7it/s 10.2s<30.0s
[K       7/25     0.939G     0.1311         32        320: 26% ━━━───────── 124/473 15.9it/s 10.3s<21.9s
[K       7/25     0.939G     0.1309         32        320: 26% ━━━───────── 125/473 14.0it/s 10.4s<24.9s
[K       7/25     0.939G     0.1305         32        320: 27% ━━━───────── 127/473 15.3it/s 10.5s<22.6s
[K       7/25     0.939G       0.13         32        320: 27% ━━━───────── 128/473 11.9it/s 10.7s<28.9s
[K       7/25     0.939G     0.1294         32        320: 27% ━━━───────── 129/473 10.1it/s 10.9s<34.1s
[K       7/25     0.939G     0.1297         32        320: 28% ━━━───────── 131/473 12.6it/s 11.0s<27.1s
[K       7/25     0.939G     0.1297         32        320: 28% ━━━───────── 133/473 10.2it/s 11.5s<33.2s
[K       7/25     0.939G       0.13         32        320: 29% ━━━───────── 136/473 14.3it/s 11.6s<23.6s
[K       7/25     0.939G     0.1295         32        320: 29% ━━━───────── 137/473 10.9it/s 11.9s<30.9s
[K       7/25     0.939G     0.1323         32        320: 30% ━━━╸──────── 140/473 15.5it/s 12.0s<21.5s
[K       7/25     0.939G      0.133         32        320: 30% ━━━╸──────── 141/473 12.2it/s 12.2s<27.1s
[K       7/25     0.939G     0.1333         32        320: 30% ━━━╸──────── 144/473 15.9it/s 12.4s<20.7s
[K       7/25     0.939G     0.1328         32        320: 31% ━━━╸──────── 145/473 12.9it/s 12.5s<25.5s
[K       7/25     0.939G     0.1336         32        320: 31% ━━━╸──────── 148/473 17.0it/s 12.6s<19.1s
[K       7/25     0.939G     0.1342         32        320: 32% ━━━╸──────── 149/473 12.9it/s 13.0s<25.2s
[K       7/25     0.939G     0.1351         32        320: 32% ━━━╸──────── 151/473 14.5it/s 13.1s<22.3s
[K       7/25     0.939G      0.134         32        320: 32% ━━━╸──────── 153/473 11.3it/s 13.6s<28.3s
[K       7/25     0.939G      0.134         32        320: 33% ━━━╸──────── 156/473 16.5it/s 13.7s<19.2s
[K       7/25     0.939G     0.1337         32        320: 33% ━━━╸──────── 157/473 13.5it/s 13.8s<23.4s
[K       7/25     0.939G     0.1337         32        320: 34% ━━━━──────── 161/473 12.7it/s 14.2s<24.6s
[K       7/25     0.939G     0.1328         32        320: 35% ━━━━──────── 165/473 13.6it/s 14.5s<22.7s
[K       7/25     0.939G     0.1313         32        320: 36% ━━━━──────── 169/473 13.4it/s 14.8s<22.7s
[K       7/25     0.939G     0.1303         32        320: 36% ━━━━──────── 172/473 17.1it/s 14.9s<17.6s
[K       7/25     0.939G     0.1298         32        320: 37% ━━━━──────── 173/473 13.3it/s 15.1s<22.6s
[K       7/25     0.939G     0.1283         32        320: 37% ━━━━──────── 177/473 15.2it/s 15.3s<19.4s
[K       7/25     0.939G     0.1274         32        320: 38% ━━━━╸─────── 181/473 15.2it/s 15.6s<19.2s
[K       7/25     0.939G     0.1291         32        320: 39% ━━━━╸─────── 185/473 16.1it/s 15.8s<17.9s
[K       7/25     0.939G     0.1288         32        320: 40% ━━━━╸─────── 189/473 14.7it/s 16.1s<19.4s
[K       7/25     0.939G      0.129         32        320: 41% ━━━━╸─────── 193/473 14.2it/s 16.4s<19.7s
[K       7/25     0.939G     0.1289         32        320: 42% ━━━━╸─────── 197/473 12.6it/s 16.9s<22.0s
[K       7/25     0.939G     0.1295         32        320: 42% ━━━━━─────── 200/473 17.5it/s 17.0s<15.6s
[K       7/25     0.939G     0.1296         32        320: 42% ━━━━━─────── 201/473 13.3it/s 17.3s<20.4s
[K       7/25     0.939G     0.1293         32        320: 43% ━━━━━─────── 205/473 12.3it/s 17.7s<21.8s
[K       7/25     0.939G     0.1289         32        320: 44% ━━━━━─────── 208/473 17.0it/s 17.8s<15.6s
[K       7/25     0.939G     0.1286         32        320: 44% ━━━━━─────── 209/473 12.8it/s 18.1s<20.6s
[K       7/25     0.939G     0.1289         32        320: 45% ━━━━━─────── 212/473 17.7it/s 18.2s<14.8s
[K       7/25     0.939G     0.1292         32        320: 45% ━━━━━─────── 213/473 15.3it/s 18.3s<16.9s
[K       7/25     0.939G     0.1288         32        320: 46% ━━━━━╸────── 217/473 16.8it/s 18.5s<15.2s
[K       7/25     0.939G     0.1284         32        320: 47% ━━━━━╸────── 221/473 14.0it/s 19.1s<17.9s
[K       7/25     0.939G      0.128         32        320: 47% ━━━━━╸────── 224/473 18.7it/s 19.2s<13.3s
[K       7/25     0.939G     0.1278         32        320: 48% ━━━━━╸────── 225/473 13.7it/s 19.7s<18.2s
[K       7/25     0.939G     0.1278         32        320: 48% ━━━━━╸────── 228/473 16.6it/s 19.8s<14.8s
[K       7/25     0.939G     0.1284         32        320: 48% ━━━━━╸────── 229/473 12.9it/s 20.1s<18.9s
[K       7/25     0.939G     0.1286         32        320: 49% ━━━━━╸────── 231/473 15.0it/s 20.2s<16.2s
[K       7/25     0.939G     0.1289         32        320: 49% ━━━━━╸────── 233/473 15.2it/s 20.3s<15.8s
[K       7/25     0.939G     0.1292         32        320: 50% ━━━━━━────── 237/473 15.3it/s 20.5s<15.4s
[K       7/25     0.939G     0.1283         32        320: 51% ━━━━━━────── 240/473 19.0it/s 20.6s<12.3s
[K       7/25     0.939G     0.1284         32        320: 51% ━━━━━━────── 241/473 14.3it/s 21.0s<16.3s
[K       7/25     0.939G     0.1285         32        320: 51% ━━━━━━────── 243/473 14.5it/s 21.1s<15.8s
[K       7/25     0.939G     0.1279         32        320: 52% ━━━━━━────── 245/473 11.3it/s 21.6s<20.2s
[K       7/25     0.939G     0.1275         32        320: 52% ━━━━━━────── 247/473 12.5it/s 21.8s<18.0s
[K       7/25     0.939G     0.1272         32        320: 53% ━━━━━━────── 249/473 10.5it/s 22.1s<21.4s
[K       7/25     0.939G     0.1276         32        320: 53% ━━━━━━────── 251/473 12.9it/s 22.2s<17.2s
[K       7/25     0.939G     0.1285         32        320: 53% ━━━━━━────── 253/473 10.8it/s 22.6s<20.4s
[K       7/25     0.939G     0.1279         32        320: 54% ━━━━━━────── 255/473 12.8it/s 22.7s<17.0s
[K       7/25     0.939G     0.1272         32        320: 54% ━━━━━━╸───── 257/473 11.6it/s 22.9s<18.6s
[K       7/25     0.939G     0.1267         32        320: 55% ━━━━━━╸───── 260/473 15.1it/s 23.0s<14.1s
[K       7/25     0.939G     0.1271         32        320: 55% ━━━━━━╸───── 261/473 11.7it/s 23.3s<18.1s
[K       7/25     0.939G     0.1269         32        320: 56% ━━━━━━╸───── 264/473 15.1it/s 23.4s<13.9s
[K       7/25     0.939G      0.127         32        320: 56% ━━━━━━╸───── 265/473 12.4it/s 23.6s<16.7s
[K       7/25     0.939G     0.1263         32        320: 57% ━━━━━━╸───── 268/473 17.0it/s 23.7s<12.1s
[K       7/25     0.939G     0.1261         32        320: 57% ━━━━━━╸───── 269/473 14.8it/s 23.8s<13.8s
[K       7/25     0.939G     0.1257         32        320: 58% ━━━━━━╸───── 272/473 18.2it/s 23.9s<11.1s
[K       7/25     0.939G     0.1253         32        320: 58% ━━━━━━╸───── 273/473 15.0it/s 24.0s<13.3s
[K       7/25     0.939G     0.1259         32        320: 59% ━━━━━━━───── 277/473 14.5it/s 24.3s<13.5s
[K       7/25     0.939G     0.1265         32        320: 59% ━━━━━━━───── 281/473 13.2it/s 24.7s<14.6s
[K       7/25     0.939G     0.1276         32        320: 60% ━━━━━━━───── 285/473 13.2it/s 25.0s<14.2s
[K       7/25     0.939G     0.1277         32        320: 61% ━━━━━━━───── 288/473 16.1it/s 25.2s<11.5s
[K       7/25     0.939G     0.1277         32        320: 61% ━━━━━━━───── 289/473 12.4it/s 25.4s<14.8s
[K       7/25     0.939G     0.1276         32        320: 62% ━━━━━━━───── 292/473 17.7it/s 25.5s<10.2s
[K       7/25     0.939G     0.1276         32        320: 62% ━━━━━━━───── 293/473 14.4it/s 25.7s<12.5s
[K       7/25     0.939G     0.1288         32        320: 63% ━━━━━━━╸──── 296/473 18.1it/s 25.8s<9.8s
[K       7/25     0.939G     0.1289         32        320: 63% ━━━━━━━╸──── 297/473 14.0it/s 26.0s<12.6s
[K       7/25     0.939G     0.1291         32        320: 63% ━━━━━━━╸──── 300/473 17.0it/s 26.1s<10.2s
[K       7/25     0.939G      0.129         32        320: 64% ━━━━━━━╸──── 301/473 14.2it/s 26.3s<12.1s
[K       7/25     0.939G     0.1295         32        320: 64% ━━━━━━━╸──── 304/473 17.3it/s 26.4s<9.8s
[K       7/25     0.939G     0.1297         32        320: 64% ━━━━━━━╸──── 305/473 13.9it/s 26.6s<12.1s
[K       7/25     0.939G     0.1296         32        320: 65% ━━━━━━━╸──── 307/473 15.3it/s 26.7s<10.9s
[K       7/25     0.939G       0.13         32        320: 65% ━━━━━━━╸──── 309/473 14.3it/s 26.8s<11.5s
[K       7/25     0.939G     0.1306         32        320: 66% ━━━━━━━╸──── 313/473 15.7it/s 27.1s<10.2s
[K       7/25     0.939G     0.1298         32        320: 67% ━━━━━━━━──── 316/473 18.6it/s 27.2s<8.4s
[K       7/25     0.939G       0.13         32        320: 67% ━━━━━━━━──── 317/473 14.5it/s 27.4s<10.7s
